name,id,price,hash,rarityScore,rarityRank
Naru 06190,6190,1000000000000,QmasrpQKfz16EyS11SBEkW5E9NgbYj4Wf55v8m8GMamVLp,39996,1
Naru 08570,8570,,QmViBhUiSNBA8HMBKkUHgHYpjkxGRFusgFxxtgkwZWXTvL,39996,1
Naru 00125,125,,QmSncmh2bTAkxfWpCR1EQvoGccNwLC8PezVj7RVfdsarbe,39996,1
Naru 00985,985,,QmVUDGdmZVWGaRczY7ScMTtrnHJXgTiFFSD56TTgnBiUjQ,39996,1
Naru 06426,6426,,QmaP1nkBnoqbK8aHxSEcVgFbMM7TogeZX9FA2vWMG5i1fL,39996,1
Naru 00556,556,,QmZY5AReZZzztRbJQ5TktYbZP964jVzCzrYMwc6x5sXGqG,39996,1
Naru 03501,3501,,QmbEDWjMN5NPE1Yb2hNjf84rVFukdmkS3g28hiy1JArvZC,39996,1
Naru 02246,2246,,Qmc5u5FRdAS5iqKaeagGpC3R7rB5s3MaKX2vj2h9PAdzqV,39996,1
Naru 03863,3863,,QmUT6b1TcH7h9WiJNdHQcowHqzx2x7h2AqyMaER8uZvHP6,1058,9
Naru 08553,8553,,QmNzsfqGstFc7mYZTRKmmBPzsugQr1y8UHeR5w5eFzdVSk,1028,10
Naru 04266,4266,,QmQPgzCWk8rTgsoXbiFkQbxb11SXjG1LuSSJBz9uDHU23g,1003,11
Naru 07767,7767,9999000000,QmeQbda3Urzh4GjLZGZzoKg5mjQ6hKgeVyu5TSwpuLr5B8,963,12
Naru 02241,2241,,QmZwLB2YEVNzLPLtd2jWUWWEqDTJfk6Qa2fLHeXuDzezUd,943,13
Naru 03987,3987,50000000000,QmeJdSatgL7iMfCYeWjy5Cn1WQoZGJXYh4BAsdmy25NF4C,914,14
Naru 07891,7891,,QmQMc5CyECtD1PV7mFMcpMvf4Q2qYzNJj94k1PpA7za9MP,904,15
Naru 00319,319,,QmSmUXDpvhpggyiNgWcSo2XB46wPrEp1qv6KVPP1yZrcRF,902,16
Naru 01650,1650,,QmUKHx4apZPd1Ww3sE2gwjPHdDU3Y8AEX5abe9dGuz6s5w,897,17
Naru 08717,8717,,QmZgygs8TXoDTm8XYTMQ267NCtBP1qhBU6mM4j3STWD6Y3,874,18
Naru 02833,2833,,Qme9nXGgpgsFxiqF88iyLcs1kKCK3cTPseaVtD7vm4gQvq,871,19
Naru 05395,5395,,Qma6DJ1zaWFSPseGCcWxzvQqiNihUszpDmzq78Kx2UxdxT,863,20
Naru 08616,8616,7250000000,QmUvoxGxbHRoMnDpz1Q9NLB5Vnjq3sJcQBM9GMgUpVMz1G,840,21
Naru 09158,9158,,QmYHwLG9ea9tQpFGyAxR3VKeiGxzHrDx854LYMsiumSWQ2,835,22
Naru 05384,5384,,Qmc9Xp7QjPvdtXSpHTb9hV3gjphsxEWPm2YDX2SBpw5q4Z,825,23
Naru 05440,5440,22500000000,QmZuWidXDHVtK8R5U4oBaF9REcTb1UoF5wdDCC83eNANX5,817,24
