name,rarityRank,id
BabyViking,1,9995
BabyKnight,1,9996
BabySamurai,1,9997
BabyIndian,1,9998
BabySpartan,1,9999
BabyAlien08569,6,8569
BabyAlien08644,7,8644
BabyAlien07600,8,7600
BabyAlien08425,9,8425
BabyAlien03055,10,3055
BabyAlien08415,11,8415
BabyAlien00444,12,444
BabyAlien01530,13,1530
BabyAlien01111,14,1111
BabyAlien03144,15,3144
BabyAlien06133,16,6133
BabyAlien06135,17,6135
BabyAlien06388,18,6388
BabyAlien02621,19,2621
BabyAlien09409,20,9409
BabyAlien00888,21,888
BabyAlien07371,22,7371
BabyAlien09771,23,9771
BabyAlien02536,24,2536
BabyAlien00984,25,984
BabyAlien04465,26,4465
BabyAlien07548,27,7548
BabyAlien07612,28,7612
BabyAlien07957,29,7957
BabyAlien09948,30,9948
BabyAlien07058,31,7058
BabyAlien00594,32,594
BabyAlien02567,33,2567
BabyAlien07475,34,7475
BabyAlien06466,35,6466
BabyAlien08083,36,8083
BabyAlien06085,37,6085
BabyAlien02907,38,2907
BabyAlien09814,39,9814
BabyAlien00472,40,472
BabyAlien00869,41,869
BabyAlien01381,42,1381
BabyAlien05628,43,5628
BabyAlien02583,44,2583
BabyAlien04796,45,4796
BabyAlien00385,46,385
BabyAlien05402,47,5402
BabyAlien01470,48,1470
BabyAlien03653,49,3653
BabyAlien01251,50,1251
BabyAlien02531,51,2531
BabyAlien01171,52,1171
BabyAlien04640,53,4640
BabyAlien00519,54,519
BabyAlien05411,55,5411
BabyAlien08867,56,8867
BabyAlien07314,57,7314
BabyAlien02864,58,2864
BabyAlien08676,59,8676
BabyAlien03690,60,3690
BabyAlien01191,61,1191
BabyAlien08230,62,8230
BabyAlien07962,63,7962
BabyAlien02441,64,2441
BabyAlien04121,65,4121
BabyAlien04592,66,4592
BabyAlien07797,67,7797
BabyAlien04610,68,4610
BabyAlien04889,69,4889
BabyAlien03918,70,3918
BabyAlien08146,71,8146
BabyAlien00605,72,605
BabyAlien09176,73,9176
BabyAlien09171,74,9171
BabyAlien08165,75,8165
BabyAlien09669,76,9669
BabyAlien04034,77,4034
BabyAlien08715,78,8715
BabyAlien03352,79,3352
BabyAlien02755,80,2755
BabyAlien05897,81,5897
