name,rarityRank,id
BabyViking,1,9995
BabyKnight,1,9996
BabySamurai,1,9997
BabyIndian,1,9998
BabySpartan,1,9999
BabyAlien08569,6,8569
BabyAlien08644,7,8644
BabyAlien07600,8,7600
BabyAlien08425,9,8425
BabyAlien03055,10,3055
BabyAlien08415,11,8415
BabyAlien00444,12,444
BabyAlien01530,13,1530
BabyAlien03144,14,3144
BabyAlien01111,15,1111
BabyAlien06133,16,6133
BabyAlien06135,17,6135
BabyAlien06388,18,6388
BabyAlien02621,19,2621
BabyAlien09409,20,9409
BabyAlien00888,21,888
BabyAlien07371,22,7371
BabyAlien09771,23,9771
BabyAlien02536,24,2536
BabyAlien00984,25,984
BabyAlien04465,26,4465
BabyAlien07548,27,7548
BabyAlien07612,28,7612
BabyAlien07957,29,7957
BabyAlien09948,30,9948
BabyAlien07058,31,7058
BabyAlien00594,32,594
BabyAlien02567,33,2567
BabyAlien07475,34,7475
BabyAlien06466,35,6466
BabyAlien08083,36,8083
BabyAlien06085,37,6085
BabyAlien02907,38,2907
BabyAlien09814,39,9814
BabyAlien00472,40,472
BabyAlien00869,41,869
BabyAlien01381,42,1381
BabyAlien05628,43,5628
BabyAlien04796,44,4796
BabyAlien02583,45,2583
BabyAlien00385,46,385
BabyAlien05402,47,5402
BabyAlien01470,48,1470
BabyAlien03653,49,3653
BabyAlien01251,50,1251
BabyAlien02531,51,2531
BabyAlien01171,52,1171
BabyAlien04640,53,4640
BabyAlien00519,54,519
BabyAlien05411,55,5411
BabyAlien02864,56,2864
BabyAlien08867,57,8867
BabyAlien07314,58,7314
BabyAlien08676,59,8676
BabyAlien03690,60,3690
BabyAlien01191,61,1191
BabyAlien08230,62,8230
BabyAlien07962,63,7962
BabyAlien04121,64,4121
BabyAlien02441,65,2441
BabyAlien07797,66,7797
BabyAlien04610,67,4610
BabyAlien04889,68,4889
BabyAlien04592,69,4592
BabyAlien03918,70,3918
BabyAlien08146,71,8146
BabyAlien08165,72,8165
BabyAlien00605,73,605
BabyAlien09669,74,9669
BabyAlien09176,75,9176
BabyAlien09171,76,9171
BabyAlien08715,77,8715
BabyAlien04034,78,4034
BabyAlien03352,79,3352
BabyAlien02755,80,2755
BabyAlien05897,81,5897
