name,id,price,hash,rarityScore,rarityRank
Clay Nation #1708,1708,x,QmRNG2NqzZf7Hn2ZXhpsYYgYMwqus3ies8eXhWvGmcyLwb,88,1
Clay Nation #7279,7279,x,QmUqQhwLaR4qZf6SqD3uxy6kUTmDCwYJDMENkvHzDJFXzB,88,2
Clay Nation #1861,1861,150000,QmYEZZJdZYaMF3vuwzobmYCCHbgL6SuKPJq2xkDN2QjpC4,88,3
Clay Nation #0057,57,x,QmatbELAAoZQ8hZrX8KpWshphPc42rYLSMVVAGccfF6stk,88,4
Clay Nation #1984,1984,x,QmNd5THQX9HfPKeRz69EoGDySdYH5YVBoYEjTA2dfwXGcR,88,5
Clay Nation #1153,1153,75000,QmRwiSN78o9wmNTqnpn9ScCLDYZ9dXcNqkxzaR3wP71Sqa,88,6
Clay Nation #2305,2305,x,QmdD526TFzHwMuUdk6hy4U9x6xvQZj93efhte7PgUs4h3f,88,7
Clay Nation #9950,9950,x,QmPzGm1vR15UwC7pmJKP3FdboxDQ5yC7RBxR6jv6EzGHV9,88,8
Clay Nation #9666,9666,1250000,QmU7sQKjHCuQEbFGEVpi5jZ27cdPr8kRFLUzmL5sFQCzbD,88,9
Clay Nation #6240,6240,x,QmXxmcX55oiDtit6rNBpFPXD2qXGAJN9bBiiNEiUjTAhSR,88,10
Clay Nation #5683,5683,x,Qmd9fjTrSzhikitsWP2VHGJXZqf3V7n4Sg524zLopAsKo7,88,11
Clay Nation #1736,1736,45000,QmP94dAkmqcHPhGyVZwQ53Yt6M298BVLvWYo3WGN2CAxfs,88,12
Clay Nation #2911,2911,x,QmT6AgEJsHBh8AtSgKYWDgsTmS9Xsyq7VGaMxH1M7z1BKT,88,13
Clay Nation #5395,5395,x,QmYY74SouqMFiQrE7ZBeYS63uMBs3DZNrL2uELKjTnLdxV,88,14
Clay Nation #6577,6577,x,QmVt2Asm2DQsayW1yazwaoGSdykAQ2oFnCF8qy7XeSq4GE,88,15
Clay Nation #5114,5114,x,Qme7qfVh3xwa2QdQc8KobYRBotaNyUNQvnmbyoM7RiGSfn,88,16
Clay Nation #9383,9383,88888,Qmb9zTZ5ssKaJwUUXBG8MCki9hbTJ1MLyugHSS1zgv1tu2,88,17
Clay Nation #1151,1151,x,QmYMVWgGXfnrXNfvq31ioEPohXq1eYLuAjznbibieZm7z3,88,18
Clay Nation #1272,1272,x,QmaNgr85mnaCJweY2m8enWeNyk18GnJ3v6iS4EBQbNGXjL,88,19
Clay Nation #5840,5840,88888,QmUkbR6dy4zSMzQ8KAkt5kMt5g59cKQWmsdZmcpLGwzEeo,88,20
Clay Nation #2907,2907,90210,QmbSNrNNxQXPtnKGfevUvDM4XHryavPpaRg7wmyyTxA8Dt,88,21
Clay Nation #5376,5376,x,QmdsYF1ravUXGbVpzc7MJ6jxNqbdZ2KpacYePXyuMMxEzV,88,22
Clay Nation #2315,2315,x,QmX8gwoTXFn35Y69QVkRMzdoeVscYZMZ1KTTreg8xVcfeG,88,23
Clay Nation #9678,9678,x,QmWWvScUwus8BxjRpDeVn8xRmbMMggoC49kUFiz3udXoeb,88,24
Clay Nation #8097,8097,x,QmU7ameiWU5H7NkphEJRmZTMHKDhnvU9yr1edT6xbjKLpf,88,25
Clay Nation #8194,8194,x,QmeSp6CZMudr2WRJ773d39YMcvhy7Z7ytxQUMvFw1hfeFJ,88,26
Clay Nation #1482,1482,42000,QmSLzPb7ZQZ1baJ4FtRAsEeE8V1uQR48GKqRVEzQ8PkNJ8,88,27
Clay Nation #0795,795,x,QmRweVi9VdV57SyedLS5N3F4pGMik2KtR3tUvuW6WVsHMR,88,28
Clay Nation #8523,8523,88888,QmSEf8vQ8HgphVs7JYUPp2RRZaC95DxYGGBQYNdgLVVpyA,88,29
Clay Nation #5405,5405,49869.69,QmXXSfba1QwAyXq9vqRKnUtGsHdV6RbTRApNz9NB9rxJTn,88,30
Clay Nation #7998,7998,x,QmZweF4TpeZYLoCU6ZqyyWmCrAPFj5JfmVmKkxAqPPYjBi,88,31
Clay Nation #7718,7718,5000000,QmQpxpaZ3S2eN4cg6y2qCo2njbfCdRRTKvX3qZpjqnoohD,88,32
Clay Nation #0070,70,x,QmUaFvtVaoCDXbczohw6GFMsAJaPgqNU1rdTqyxhHXpsvv,88,33
Clay Nation #1939,1939,x,QmVRsZZQpdS4ZW7acW8irBePC5rCzBfVN7HaRxpruspQe6,88,34
Clay Nation #0881,881,1000000,QmVmmEXz5RJBuw1Ug4RksxiRdvN5PNSx6woAa4nNNE9JCv,88,35
Clay Nation #3233,3233,x,QmS6uiSJyP5GEuQbitF4SsaoMZ12SYuSNDp61aAqafdMnH,88,36
Clay Nation #8687,8687,55000,QmYmmYLziPqDvN7J3h7Qmo6DN1S2Czxngno9ToyvBkJkZ4,88,37
Clay Nation #8345,8345,x,QmNsT2oToskpGC4ExFjiSQwyuZaJNiwUNyhWgZBV2zXt2C,88,38
Clay Nation #4362,4362,x,QmPmNEMsenoU98ggoB8GDjySy6db5rREpFMuC1z6hRLATE,88,39
Clay Nation #1440,1440,2500000,QmYpjejfV1CcTgz2C2LXMHLM2RjEeCtka3zbSAE7nntkFi,88,40
Clay Nation #5479,5479,x,QmXw4vmfDTQXgPwbJYrQ5MWBEBwKbdBNyAfKNZLXghLU7f,88,41
Clay Nation #1718,1718,x,QmQ3EgvHHm5uHyBGiyKpNgrhrMyf9L16BkggkP6MakRpoF,88,42
Clay Nation #0075,75,125000,QmXiJUsYut3Ww2WEeURnpjM5LPB12wMNR6zbV5SPGyvL2b,88,43
Clay Nation #6196,6196,50000,Qmb81ZQURYrKnqxSyZvuRRxkHE1BWk5jZugz2ewv2CbMeT,88,44
Clay Nation #7434,7434,x,QmTJFmy1YQLBBZsAYpPykY8y28uRvMkqmoT6rqCn897NRw,88,45
Clay Nation #2785,2785,60000,QmVTtLGPGjZukk171mUeLbwrSww4UCqj2p4qWLpK2fPQnp,88,46
Clay Nation #6944,6944,325000,QmezTz8YyPKdqeWPYDepmRNMEftz737xjjQKsYJMUj2ahw,88,47
Clay Nation #7256,7256,x,QmcnmjaeTC5XdDBPPiQemMjDqBuhoTC3epHJA1Sm6xw6Nn,88,48
Clay Nation #9133,9133,x,QmPc2GS665iu28m58yiSmRMmjL3S9xqmokzopc22SKYqAF,88,49
Clay Nation #8540,8540,35000,QmZv6GQxdUjadaa55Ks3Vs5ecLeubsKheroZ42Dpe88LUB,88,50
Clay Nation #5737,5737,185000,QmdwfXi6g6FuThZMiGEpkT9n2V3oUXqet9mST1KWjoUrkf,88,51
Clay Nation #0360,360,x,Qme3jK1TBnCjNZqM79gDDs9vvekxW1W5HtKaH612K9QnSs,88,52
Clay Nation #3263,3263,100000,QmSM4R6yLnENdFWjw6QrNowK2dLNNsGLqzFuf4PWojQRr3,88,53
Clay Nation #4396,4396,x,QmP8i3mNkxNoEebGzCT3X4UvxHEuHMuye6n7qheo6P4HPn,88,54
Clay Nation #4057,4057,42000,Qmf5y21hTU9LZ7kALWgcfE5bKfvEzT9zPa1ci4b9cKwDo6,88,55
Clay Nation #0943,943,x,QmWZC2sAPHnNusxqZrhGyExQQkGD7ytbQpzzFG2h2H7xi6,88,56
Clay Nation #3860,3860,x,QmQcMLbFQhNhPBWypSnxgzCdao5ThfUCEnjtnbSQna24fg,88,57
Clay Nation #7760,7760,x,QmZqUrfJSYdG2LZMNVFXHe3X8er9xXYKgQTGxbunQxvJvz,88,58
Clay Nation #2655,2655,25000,QmZHTn8UvubnL7MHUcPsMB4pJ5aLqEa9ghPi1EU7Mnj3kG,88,59
Clay Nation #8069,8069,x,QmRfbkwU77upyan9d6W6TGpfc78mu2hr1BVpJgi3SmRZGk,88,60
Clay Nation #2121,2121,x,QmQXQYHvWPPFNgSZJA1iWmaxD2UTJdcTeNtX8aqg8CXR4K,88,61
