name,rarityRank,id
CryptoDino #02307,1,02307
CryptoDino #08199,2,08199
CryptoDino #02855,3,02855
CryptoDino #05530,4,05530
CryptoDino #05199,5,05199
CryptoDino #06331,6,06331
CryptoDino #04786,7,04786
CryptoDino #07564,8,07564
CryptoDino #09928,9,09928
CryptoDino #00651,10,00651
CryptoDino #07868,11,07868
CryptoDino #06783,12,06783
CryptoDino #05539,13,05539
CryptoDino #08589,14,08589
CryptoDino #05162,15,05162
CryptoDino #02730,16,02730
CryptoDino #07367,17,07367
CryptoDino #00480,18,00480
CryptoDino #04444,19,04444
CryptoDino #01301,20,01301
CryptoDino #09725,21,09725
CryptoDino #08453,22,08453
CryptoDino #00138,23,00138
CryptoDino #01543,24,01543
CryptoDino #09913,25,09913
CryptoDino #03651,26,03651
CryptoDino #04600,27,04600
CryptoDino #04748,28,04748
CryptoDino #07927,29,07927
CryptoDino #00708,30,00708
CryptoDino #03513,31,03513
CryptoDino #06076,32,06076
CryptoDino #01192,33,01192
CryptoDino #00742,34,00742
CryptoDino #06195,35,06195
CryptoDino #09330,36,09330
CryptoDino #04326,37,04326
CryptoDino #09053,38,09053
CryptoDino #04734,39,04734
CryptoDino #00567,40,00567
CryptoDino #04827,41,04827
CryptoDino #08267,42,08267
CryptoDino #05745,43,05745
CryptoDino #00245,44,00245
CryptoDino #08380,45,08380
CryptoDino #04825,46,04825
CryptoDino #08662,47,08662
CryptoDino #05752,48,05752
CryptoDino #07177,49,07177
CryptoDino #06509,50,06509
CryptoDino #04911,51,04911
CryptoDino #02624,52,02624
CryptoDino #05818,53,05818
CryptoDino #01462,54,01462
CryptoDino #08834,55,08834
CryptoDino #02782,56,02782
CryptoDino #02067,57,02067
CryptoDino #00772,58,00772
CryptoDino #02445,59,02445
CryptoDino #08715,60,08715
CryptoDino #04848,61,04848
CryptoDino #07976,62,07976
CryptoDino #09728,63,09728
CryptoDino #04751,64,04751
CryptoDino #01332,65,01332
CryptoDino #08888,66,08888
CryptoDino #00959,67,00959
CryptoDino #06475,68,06475
CryptoDino #06279,69,06279
CryptoDino #09820,70,09820
CryptoDino #09575,71,09575
CryptoDino #05668,72,05668
CryptoDino #00445,73,00445
CryptoDino #03674,74,03674
CryptoDino #02173,75,02173
CryptoDino #06105,76,06105
CryptoDino #04316,77,04316
CryptoDino #00501,78,00501
CryptoDino #04408,79,04408
CryptoDino #04938,80,04938
CryptoDino #02650,81,02650
CryptoDino #08065,82,08065
CryptoDino #01082,83,01082
CryptoDino #04045,84,04045
CryptoDino #08979,85,08979
CryptoDino #05843,86,05843
CryptoDino #02413,87,02413
CryptoDino #07500,88,07500
CryptoDino #01509,89,01509
CryptoDino #09219,90,09219
CryptoDino #06216,91,06216
CryptoDino #03600,92,03600
CryptoDino #05881,93,05881
CryptoDino #01268,94,01268
CryptoDino #02639,95,02639
CryptoDino #08980,96,08980
CryptoDino #05316,97,05316
CryptoDino #08672,98,08672
CryptoDino #06986,99,06986
CryptoDino #00487,100,00487
CryptoDino #09333,101,09333
CryptoDino #05175,102,05175
CryptoDino #02919,103,02919
CryptoDino #03830,104,03830
CryptoDino #06716,105,06716
CryptoDino #04249,106,04249
CryptoDino #05917,107,05917
CryptoDino #09979,108,09979
CryptoDino #04605,109,04605
CryptoDino #08182,110,08182
CryptoDino #06281,111,06281
CryptoDino #03468,112,03468
CryptoDino #08308,113,08308
CryptoDino #05737,114,05737
CryptoDino #01557,115,01557
CryptoDino #04122,116,04122
CryptoDino #01836,117,01836
CryptoDino #03689,118,03689
CryptoDino #06339,119,06339
CryptoDino #01389,120,01389
CryptoDino #07534,121,07534
CryptoDino #07727,122,07727
CryptoDino #08252,123,08252
CryptoDino #04350,124,04350
CryptoDino #00759,125,00759
CryptoDino #02002,126,02002
CryptoDino #05194,127,05194
CryptoDino #07168,128,07168
CryptoDino #02453,129,02453
CryptoDino #02430,130,02430
CryptoDino #08139,131,08139
CryptoDino #05713,132,05713
CryptoDino #01635,133,01635
CryptoDino #04478,134,04478
CryptoDino #08678,135,08678
CryptoDino #08430,136,08430
CryptoDino #08699,137,08699
CryptoDino #09973,138,09973
CryptoDino #04407,139,04407
CryptoDino #01423,140,01423
CryptoDino #02371,141,02371
CryptoDino #01728,142,01728
CryptoDino #07439,143,07439
CryptoDino #02460,144,02460
CryptoDino #03399,145,03399
CryptoDino #01238,146,01238
CryptoDino #09058,147,09058
CryptoDino #04586,148,04586
CryptoDino #03323,149,03323
CryptoDino #06029,150,06029
CryptoDino #08975,151,08975
CryptoDino #00108,152,00108
CryptoDino #08033,153,08033
CryptoDino #09168,154,09168
CryptoDino #09037,155,09037
CryptoDino #06003,156,06003
CryptoDino #06445,157,06445
CryptoDino #06630,158,06630
CryptoDino #04197,159,04197
CryptoDino #03880,160,03880
CryptoDino #07957,161,07957
CryptoDino #06311,162,06311
CryptoDino #04212,163,04212
CryptoDino #05285,164,05285
CryptoDino #00815,165,00815
CryptoDino #01643,166,01643
CryptoDino #00465,167,00465
CryptoDino #01336,168,01336
CryptoDino #00881,169,00881
CryptoDino #09934,170,09934
CryptoDino #03685,171,03685
CryptoDino #09821,172,09821
CryptoDino #01504,173,01504
CryptoDino #04604,174,04604
CryptoDino #04500,175,04500
CryptoDino #01795,176,01795
CryptoDino #04993,177,04993
CryptoDino #08676,178,08676
CryptoDino #07309,179,07309
CryptoDino #05044,180,05044
CryptoDino #06936,181,06936
CryptoDino #00451,182,00451
CryptoDino #06940,183,06940
CryptoDino #05291,184,05291
CryptoDino #07297,185,07297
CryptoDino #05307,186,05307
CryptoDino #07798,187,07798
CryptoDino #00055,188,00055
CryptoDino #08640,189,08640
CryptoDino #05842,190,05842
CryptoDino #03992,191,03992
CryptoDino #00593,192,00593
CryptoDino #03293,193,03293
CryptoDino #07457,194,07457
CryptoDino #07751,195,07751
CryptoDino #07571,196,07571
CryptoDino #08208,197,08208
CryptoDino #07430,198,07430
CryptoDino #02168,199,02168
CryptoDino #09398,200,09398
CryptoDino #05608,201,05608
CryptoDino #07898,202,07898
CryptoDino #02450,203,02450
CryptoDino #04515,204,04515
CryptoDino #01451,205,01451
CryptoDino #07588,206,07588
CryptoDino #03069,207,03069
CryptoDino #06629,208,06629
CryptoDino #02439,209,02439
CryptoDino #09365,210,09365
CryptoDino #03914,211,03914
CryptoDino #07595,212,07595
CryptoDino #04782,213,04782
CryptoDino #02429,214,02429
CryptoDino #06431,215,06431
CryptoDino #04544,216,04544
CryptoDino #04789,217,04789
CryptoDino #04355,218,04355
CryptoDino #00150,219,00150
CryptoDino #09812,220,09812
CryptoDino #00411,221,00411
CryptoDino #08697,222,08697
CryptoDino #04984,223,04984
CryptoDino #04686,224,04686
CryptoDino #02334,225,02334
CryptoDino #01588,226,01588
CryptoDino #01210,227,01210
CryptoDino #00984,228,00984
CryptoDino #06434,229,06434
CryptoDino #04025,230,04025
CryptoDino #03618,231,03618
CryptoDino #03743,232,03743
CryptoDino #09773,233,09773
CryptoDino #05123,234,05123
CryptoDino #03770,235,03770
CryptoDino #04035,236,04035
CryptoDino #03026,237,03026
CryptoDino #08454,238,08454
CryptoDino #03757,239,03757
CryptoDino #08568,240,08568
CryptoDino #02546,241,02546
CryptoDino #04406,242,04406
CryptoDino #03514,243,03514
CryptoDino #07808,244,07808
CryptoDino #04764,245,04764
CryptoDino #06966,246,06966
CryptoDino #05425,247,05425
CryptoDino #03631,248,03631
CryptoDino #03291,249,03291
CryptoDino #08447,250,08447
CryptoDino #04456,251,04456
CryptoDino #01712,252,01712
CryptoDino #05672,253,05672
CryptoDino #07735,254,07735
CryptoDino #01569,255,01569
CryptoDino #04235,256,04235
CryptoDino #08701,257,08701
CryptoDino #05936,258,05936
CryptoDino #03183,259,03183
CryptoDino #00930,260,00930
CryptoDino #05339,261,05339
CryptoDino #05277,262,05277
CryptoDino #01479,263,01479
CryptoDino #04289,264,04289
CryptoDino #03539,265,03539
CryptoDino #04981,266,04981
CryptoDino #00982,267,00982
CryptoDino #04393,268,04393
CryptoDino #05814,269,05814
CryptoDino #02576,270,02576
CryptoDino #09454,271,09454
CryptoDino #03903,272,03903
CryptoDino #06903,273,06903
CryptoDino #07348,274,07348
