name,rarityRank,id
Ghost Legendary Derp Bird #03456,1,3456
Perfect Legendary Derp Bird #00245,2,245
Perfect Legendary Derp Bird #06100,3,6100
Perfect Legendary Derp Bird #03838,4,3838
Perfect Legendary Derp Bird #06198,5,6198
Perfect Legendary Derp Bird #04314,6,4314
Perfect Legendary Derp Bird #00191,7,191
Perfect Legendary Derp Bird #00208,8,208
Perfect Legendary Derp Bird #00347,9,347
Perfect Legendary Derp Bird #03179,10,3179
Perfect Legendary Derp Bird #03503,11,3503
Perfect Legendary Derp Bird #00190,12,190
Perfect Legendary Derp Bird #01418,13,1418
Perfect Legendary Derp Bird #06770,14,6770
Perfect Legendary Derp Bird #06324,15,6324
Perfect Legendary Derp Bird #09443,16,9443
Perfect Legendary Derp Bird #04479,17,4479
Perfect Legendary Derp Bird #01529,18,1529
Perfect Legendary Derp Bird #03539,19,3539
Perfect Legendary Derp Bird #02910,20,2910
Perfect Legendary Derp Bird #03604,21,3604
Perfect Legendary Derp Bird #00328,22,328
Perfect Legendary Derp Bird #00578,23,578
Perfect Legendary Derp Bird #06707,24,6707
Perfect Legendary Derp Bird #04333,25,4333
Perfect Legendary Derp Bird #06226,26,6226
Perfect Legendary Derp Bird #06374,27,6374
Perfect Legendary Derp Bird #07201,28,7201
Perfect Legendary Derp Bird #03707,29,3707
Perfect Legendary Derp Bird #06530,30,6530
Perfect Legendary Derp Bird #00868,31,868
Perfect Legendary Derp Bird #04901,32,4901
Perfect Mystical Derp Bird #00310,33,310
Perfect Mystical Derp Bird #02180,34,2180
Perfect Mystical Derp Bird #01592,35,1592
Perfect Mystical Derp Bird #02279,36,2279
Perfect Mystical Derp Bird #07238,37,7238
Perfect Mystical Derp Bird #08039,38,8039
Perfect Mystical Derp Bird #04029,39,4029
Perfect Mystical Derp Bird #01414,40,1414
Perfect Mystical Derp Bird #02090,41,2090
Perfect Mystical Derp Bird #01391,42,1391
Perfect Mystical Derp Bird #00088,43,88
Perfect Epic Derp Bird #00535,44,535
Perfect Mystical Derp Bird #02999,45,2999
Perfect Epic Derp Bird #01779,46,1779
Legendary Derp Bird #02239,47,2239
Perfect Epic Derp Bird #06539,48,6539
Perfect Epic Derp Bird #03369,49,3369
Perfect Epic Derp Bird #05891,50,5891
Perfect Epic Derp Bird #02378,51,2378
Legendary Derp Bird #02229,52,2229
Perfect Scare Derp Bird #08677,53,8677
Legendary Derp Bird #02511,54,2511
Legendary Derp Bird #00213,55,213
Perfect Scare Derp Bird #08989,56,8989
Perfect Rare Derp Bird #04899,57,4899
Perfect Rare Derp Bird #04652,58,4652
Perfect Rare Derp Bird #03608,59,3608
Legendary Derp Bird #00188,60,188
Legendary Derp Bird #07672,61,7672
Perfect Uncommon Derp Bird #04162,62,4162
Perfect Rare Derp Bird #08424,63,8424
Perfect Common Derp Bird #06608,64,6608
Perfect Common Derp Bird #05029,65,5029
Perfect Common Derp Bird #06972,66,6972
Perfect Common Derp Bird #04655,67,4655
Legendary Derp Bird #01200,68,1200
Perfect Common Derp Bird #04406,69,4406
Legendary Derp Bird #07076,70,7076
Legendary Derp Bird #00833,71,833
Perfect Scare Derp Bird #09184,72,9184
Perfect Scare Derp Bird #03023,73,3023
Legendary Derp Bird #05324,74,5324
Legendary Derp Bird #02565,75,2565
Perfect Uncommon Derp Bird #05626,76,5626
Perfect Scare Derp Bird #09183,77,9183
Perfect Common Derp Bird #07999,78,7999
Perfect Scare Derp Bird #02892,79,2892
Perfect Scare Derp Bird #05040,80,5040
Perfect Common Derp Bird #01350,81,1350
Perfect Scare Derp Bird #02539,82,2539
Perfect Scare Derp Bird #00091,83,91
Perfect Scare Derp Bird #07851,84,7851
Perfect Scare Derp Bird #08177,85,8177
Perfect Common Derp Bird #07630,86,7630
Perfect Common Derp Bird #07683,87,7683
Perfect Common Derp Bird #08335,88,8335
Perfect Scare Derp Bird #00853,89,853
Perfect Scare Derp Bird #06799,90,6799
Perfect Scare Derp Bird #08054,91,8054
Perfect Scare Derp Bird #07004,92,7004
Perfect Scare Derp Bird #00022,93,22
Legendary Derp Bird #07050,94,7050
Perfect Uncommon Derp Bird #05589,95,5589
Perfect Uncommon Derp Bird #07553,96,7553
Perfect Uncommon Derp Bird #06399,97,6399
Perfect Uncommon Derp Bird #07698,98,7698
Legendary Derp Bird #06730,99,6730
Perfect Uncommon Derp Bird #02916,100,2916
Perfect Uncommon Derp Bird #03525,101,3525
Perfect Uncommon Derp Bird #03378,102,3378
Perfect Uncommon Derp Bird #09735,103,9735
Perfect Uncommon Derp Bird #02625,104,2625
Perfect Uncommon Derp Bird #02483,105,2483
Perfect Uncommon Derp Bird #00393,106,393
Perfect Uncommon Derp Bird #04269,107,4269
Perfect Uncommon Derp Bird #03735,108,3735
Legendary Derp Bird #02603,109,2603
Perfect Common Derp Bird #02700,110,2700
Perfect Common Derp Bird #09174,111,9174
Perfect Common Derp Bird #00847,112,847
Perfect Common Derp Bird #07994,113,7994
Perfect Common Derp Bird #01886,114,1886
Perfect Common Derp Bird #05837,115,5837
Perfect Common Derp Bird #01736,116,1736
Perfect Common Derp Bird #01672,117,1672
Perfect Common Derp Bird #01974,118,1974
Perfect Common Derp Bird #09935,119,9935
Perfect Common Derp Bird #04816,120,4816
Legendary Derp Bird #06668,121,6668
Perfect Common Derp Bird #02446,122,2446
Legendary Derp Bird #06416,123,6416
Legendary Derp Bird #07478,124,7478
Perfect Common Derp Bird #08508,125,8508
Perfect Common Derp Bird #01947,126,1947
Legendary Derp Bird #05608,127,5608
Perfect Common Derp Bird #05738,128,5738
Perfect Common Derp Bird #09795,129,9795
Perfect Common Derp Bird #01913,130,1913
Perfect Common Derp Bird #03963,131,3963
Perfect Common Derp Bird #03144,132,3144
Perfect Common Derp Bird #06030,133,6030
Perfect Common Derp Bird #03875,134,3875
Perfect Common Derp Bird #06599,135,6599
Perfect Common Derp Bird #08165,136,8165
Perfect Common Derp Bird #08793,137,8793
Perfect Common Derp Bird #03691,138,3691
Perfect Common Derp Bird #07829,139,7829
Perfect Common Derp Bird #09854,140,9854
Perfect Common Derp Bird #07570,141,7570
Perfect Common Derp Bird #09776,142,9776
Perfect Common Derp Bird #09990,143,9990
Perfect Common Derp Bird #08009,144,8009
Perfect Common Derp Bird #09626,145,9626
Legendary Derp Bird #02085,146,2085
Perfect Common Derp Bird #09745,147,9745
Perfect Common Derp Bird #09892,148,9892
Perfect Common Derp Bird #09044,149,9044
Perfect Common Derp Bird #08497,150,8497
Perfect Common Derp Bird #09121,151,9121
Perfect Common Derp Bird #09910,152,9910
Perfect Common Derp Bird #09604,153,9604
Perfect Common Derp Bird #08740,154,8740
