name,price
Naru 06190,1000000
Naru 08570,250000
Naru 00125,not listed
Naru 00985,not listed
Naru 06426,not listed
Naru 00556,95000
Naru 03501,not listed
Naru 02246,83000
Naru 03863,50000
Naru 08553,not listed
Naru 04266,not listed
Naru 07767,9999
Naru 02241,16000
Naru 03987,35000
Naru 07891,not listed
Naru 00319,29000
Naru 01650,not listed
Naru 08717,11500
Naru 02833,49999
Naru 05395,75000
Naru 08616,6000
Naru 09158,10500
Naru 05384,not listed
Naru 05440,22500
Naru 00391,not listed
Naru 02590,17500
Naru 01910,not listed
Naru 01169,35000
Naru 08154,66669.42069
Naru 07734,25025
Naru 04579,20000
Naru 05175,not listed
Naru 06221,10000
Naru 05508,9999
Naru 02715,20000
Naru 09651,not listed
Naru 02857,30000
Naru 08686,8999
Naru 08825,15000
Naru 08408,not listed
Naru 06131,15000
Naru 07353,not listed
Naru 03003,6999
Naru 06924,25000
Naru 02397,not listed
Naru 00786,30000
Naru 04978,999999.69
Naru 03481,19999
Naru 08791,not listed
Naru 01298,not listed
Naru 05237,not listed
Naru 07372,not listed
Naru 09333,not listed
Naru 03432,86753.09
Naru 09664,7150
Naru 03062,not listed
Naru 02056,not listed
Naru 00425,8000
Naru 08569,not listed
Naru 07148,19666
Naru 03671,25000
Naru 02853,3600
Naru 05272,not listed
Naru 03569,not listed
Naru 06579,not listed
Naru 04587,8000
Naru 04641,not listed
Naru 04405,8000
Naru 00552,not listed
Naru 04771,3899
Naru 04723,not listed
Naru 09072,not listed
Naru 02687,4500
Naru 09007,3500
Naru 06108,24999
Naru 03751,7500
Naru 07162,5998
Naru 03293,4985
Naru 04051,21000
Naru 02671,not listed
Naru 01786,35000
Naru 06998,not listed
Naru 04464,9999
Naru 09757,7500
Naru 09881,4950
Naru 03796,not listed
Naru 06402,3200
Naru 09438,not listed
Naru 01088,6500
Naru 03728,15000
Naru 07214,not listed
Naru 06169,9999.69
Naru 03680,20000
Naru 01665,4000
Naru 04934,15000
Naru 01847,not listed
Naru 05621,7500
Naru 02073,14000
Naru 03734,not listed
Naru 07980,not listed
Naru 06418,not listed
Naru 02188,3000.01
Naru 00211,not listed
Naru 04280,18000
Naru 00454,not listed
Naru 09711,not listed
Naru 09652,not listed
Naru 01035,5500
Naru 04230,not listed
Naru 07769,not listed
