name,id,price,hash,rarityScore,rarityRank,Body,Face,Headwear,Background
Naru 06190,6190,1000000,QmasrpQKfz16EyS11SBEkW5E9NgbYj4Wf55v8m8GMamVLp,39996,1,Gold Armor,Gold Armor,Gold Armor,Gold Armor
Naru 08570,8570,250000,QmViBhUiSNBA8HMBKkUHgHYpjkxGRFusgFxxtgkwZWXTvL,39996,1,Underworld Naru,Underworld Naru,Underworld Naru,Underworld Naru
Naru 00125,125,250000,QmSncmh2bTAkxfWpCR1EQvoGccNwLC8PezVj7RVfdsarbe,39996,1,Ice Elemental,Ice Elemental,Ice Elemental,Ice Elemental
Naru 00985,985,x,QmVUDGdmZVWGaRczY7ScMTtrnHJXgTiFFSD56TTgnBiUjQ,39996,1,,,,
Naru 06426,6426,x,QmaP1nkBnoqbK8aHxSEcVgFbMM7TogeZX9FA2vWMG5i1fL,39996,1,,,,
Naru 00556,556,150000,QmZY5AReZZzztRbJQ5TktYbZP964jVzCzrYMwc6x5sXGqG,39996,1,Chaos Naru,Chaos Naru,Chaos Naru,Chaos Naru
Naru 03501,3501,x,QmbEDWjMN5NPE1Yb2hNjf84rVFukdmkS3g28hiy1JArvZC,39996,1,,,,
Naru 02246,2246,83000,Qmc5u5FRdAS5iqKaeagGpC3R7rB5s3MaKX2vj2h9PAdzqV,39996,1,Neku,Neku,Neku,Neku
Naru 03863,3863,50000,QmUT6b1TcH7h9WiJNdHQcowHqzx2x7h2AqyMaER8uZvHP6,1058,9,Devil Wings,Pixel Sunglasses,Fast Food Visor,Blue
Naru 08553,8553,x,QmNzsfqGstFc7mYZTRKmmBPzsugQr1y8UHeR5w5eFzdVSk,1028,10,,,,
Naru 04266,4266,x,QmQPgzCWk8rTgsoXbiFkQbxb11SXjG1LuSSJBz9uDHU23g,1003,11,,,,
Naru 07767,7767,9999,QmeQbda3Urzh4GjLZGZzoKg5mjQ6hKgeVyu5TSwpuLr5B8,963,12,Box Car,Squad Boss Shades,Twig,Yellow
